Date,Adj Close
2022-05-25,153.77
2022-05-26,154.8
2022-05-27,156.28
2022-05-31,153.11
2022-06-01,154.57
2022-06-02,154.29
2022-06-03,155.69
2022-06-06,155.01
2022-06-07,157.97
2022-06-08,158.78
2022-06-09,155.62
2022-06-10,153.76
2022-06-13,146.69
2022-06-14,146.88
2022-06-15,143.99
2022-06-16,136.3
2022-06-17,130.07
2022-06-21,135.52
2022-06-22,129.63
2022-06-23,124.86
2022-06-24,126.91
2022-06-27,129.36
2022-06-28,131.44
2022-06-29,128.85
2022-06-30,126.92
2022-07-01,128.43
2022-07-05,125.06
2022-07-06,123.41
2022-07-07,125.81
2022-07-08,125.16
2022-07-11,124.05
2022-07-12,121.78
2022-07-13,120.97
2022-07-14,119.17
2022-07-15,120.67
2022-07-18,122.36
2022-07-19,126.77
2022-07-20,128.44
2022-07-21,127.46
2022-07-22,126.4
2022-07-25,130.16
2022-07-26,129.14
2022-07-27,130.84
2022-07-28,131.84
2022-07-29,143.57
2022-08-01,140.71
2022-08-02,139.51
2022-08-03,136.19
2022-08-04,132.49
2022-08-05,134.68
2022-08-08,134.48
2022-08-09,136.24
2022-08-10,136.6
2022-08-11,139.93
2022-08-12,140.13
2022-08-15,137.46
2022-08-16,137.11
2022-08-17,138.24
2022-08-18,140.67
2022-08-19,139.49
2022-08-22,138.79
2022-08-23,143.29
2022-08-24,144.36
2022-08-25,145.62
2022-08-26,144.55
2022-08-29,145.63
2022-08-30,142.08
2022-08-31,139.82
2022-09-01,137.59
2022-09-02,139.63
2022-09-06,138.99
2022-09-07,137.21
2022-09-08,137.95
2022-09-09,141.51
2022-09-12,143.75
2022-09-13,141.01
2022-09-14,144.43
2022-09-15,142.08
2022-09-16,138.39
2022-09-19,138.79
2022-09-20,138.24
2022-09-21,137.12
2022-09-22,137.01
2022-09-23,128.06
2022-09-26,124.69
2022-09-27,124.74
2022-09-28,128.96
2022-09-29,128.06
2022-09-30,127.09
2022-10-03,134.22
2022-10-04,139.44
2022-10-05,140.23
2022-10-06,142.79
2022-10-07,141.56
2022-10-10,139.0
2022-10-11,139.03
2022-10-12,139.45
2022-10-13,146.2
2022-10-14,141.66
2022-10-17,142.69
2022-10-18,143.94
2022-10-19,148.61
2022-10-20,149.46
2022-10-21,153.2
2022-10-24,153.15
2022-10-25,154.74
2022-10-26,156.65
2022-10-27,157.37
2022-10-28,159.21
2022-10-31,160.02
2022-11-01,161.19
2022-11-02,157.9
2022-11-03,160.23
2022-11-04,162.25
2022-11-07,164.19
2022-11-08,163.95
2022-11-09,157.4
2022-11-10,160.38
2022-11-11,164.94
2022-11-14,165.02
2022-11-15,166.35
2022-11-16,163.64
2022-11-17,164.1
2022-11-18,163.12
2022-11-21,161.56
2022-11-22,165.71
2022-11-23,164.24
2022-11-25,163.76
2022-11-28,159.0
2022-11-29,161.38
2022-11-30,163.41
2022-12-01,162.68
2022-12-02,161.38
2022-12-05,157.39
2022-12-06,153.34
2022-12-07,153.79
2022-12-08,154.7
2022-12-09,149.76
2022-12-12,151.32
2022-12-13,154.69
2022-12-14,153.62
2022-12-15,152.47
2022-12-16,150.4
2022-12-19,151.44
2022-12-20,153.92
2022-12-21,155.73
2022-12-22,153.4
2022-12-23,158.14
2022-12-27,160.13
2022-12-28,157.77
2022-12-29,158.96
2022-12-30,160.0
2023-01-03,155.1
2023-01-04,153.45
2023-01-05,156.21
2023-01-06,157.39
2023-01-09,156.16
2023-01-10,156.93
2023-01-11,156.18
2023-01-12,157.85
2023-01-13,158.28
2023-01-17,160.89
2023-01-18,157.99
2023-01-19,159.57
2023-01-20,161.26
2023-01-23,161.05
2023-01-24,161.2
2023-01-25,159.64
2023-01-26,167.4
2023-01-27,159.97
2023-01-30,155.29
2023-01-31,155.13
2023-02-01,152.76
2023-02-02,150.66
2023-02-03,151.05
2023-02-06,151.22
2023-02-07,155.19
2023-02-08,151.54
2023-02-09,150.15
2023-02-10,153.3
2023-02-13,152.44
2023-02-14,153.61
2023-02-15,151.99
2023-02-16,149.8
2023-02-17,146.45
2023-02-21,144.79
2023-02-22,144.2
2023-02-23,145.63
2023-02-24,146.06
2023-02-27,146.43
2023-02-28,144.58
2023-03-01,145.73
2023-03-02,146.19
2023-03-03,148.35
2023-03-06,149.44
2023-03-07,147.51
2023-03-08,146.58
2023-03-09,144.35
2023-03-10,143.59
2023-03-13,142.73
2023-03-14,144.57
2023-03-15,138.31
2023-03-16,138.75
2023-03-17,137.0
2023-03-20,139.02
2023-03-21,143.27
2023-03-22,140.36
2023-03-23,138.96
2023-03-24,140.35
2023-03-27,141.78
2023-03-28,143.43
2023-03-29,144.66
2023-03-30,146.04
2023-03-31,146.73
2023-04-03,152.84
2023-04-04,152.02
2023-04-05,152.78
2023-04-06,150.77
2023-04-10,151.35
2023-04-11,152.18
2023-04-12,152.72
2023-04-13,154.76
2023-04-14,155.08
2023-04-17,153.71
2023-04-18,153.35
2023-04-19,153.49
2023-04-20,152.75
2023-04-21,152.09
2023-04-24,154.21
2023-04-25,151.97
2023-04-26,149.27
2023-04-27,150.14
2023-04-28,151.61
2023-05-01,150.4
2023-05-02,143.93
2023-05-03,141.04
2023-05-04,140.49
2023-05-05,144.08
2023-05-08,143.51
2023-05-09,143.1
2023-05-10,141.27
2023-05-11,140.49
2023-05-12,140.85
2023-05-15,141.37
2023-05-16,138.05
2023-05-17,140.03
2023-05-18,139.86
2023-05-19,140.97
2023-05-22,138.43
2023-05-23,142.44
2023-05-24,142.82
2023-05-25,140.36
2023-05-26,139.92
2023-05-30,139.05
2023-05-31,136.78
2023-06-01,138.18
2023-06-02,141.9
2023-06-05,141.22
2023-06-06,141.48
2023-06-07,145.14
2023-06-08,144.61
2023-06-09,144.26
2023-06-12,142.87
2023-06-13,143.95
2023-06-14,142.66
2023-06-15,143.74
2023-06-16,142.81
